Product_ID,Classification
409,Lumpy
410,Lumpy
411,Good
412,Lighting
413,Lighting
414,Loose Wap
415,Lighting
416,Lumpy
417,Lighting
418,Lumpy
419,Lighting
420,Lumpy
421,Good
422,Lumpy
423,Sloped
424,Lumpy
425,Good
426,Lumpy
427,Lumpy
428,Lighting
429,Good
430,Lumpy
431,Good
432,Good
433,Good
434,Good
435,Lighting
436,Lumpy
437,Good
438,Lumpy
439,Lumpy
440,Lumpy
441,Lumpy
442,Good
443,Good
444,Lumpy
445,Good
446,Lumpy
447,Sloped
448,Good
449,Lighting
450,Lumpy
451,Lighting
452,Lumpy
453,Lighting
454,Lumpy
455,Lumpy
456,Lumpy
457,Good
458,Loose Wap
459,Lumpy
460,Lumpy
461,Lumpy
462,Lumpy
463,Lumpy
464,Lumpy
465,Lumpy
466,Lighting
467,Sloped
468,Lighting
469,Good
470,Lighting
471,Loose Wap
472,Good
473,Loose Wap
474,Lighting
475,Good
476,Lumpy
477,Good
478,Lumpy
479,Loose Wap
480,Lumpy
481,Good
482,Lumpy
483,Good
484,Lumpy
485,Good
486,Good
487,Lumpy
488,Good
489,Good
490,Lumpy
491,Lumpy
492,Lumpy
493,Loose Wap
494,Good
495,Lumpy
496,Lighting
497,Lumpy
498,Good
499,Good
500,Good
501,Lumpy
502,Lighting
503,Lumpy
504,Lighting
505,Good
506,Lighting
507,Lighting
508,Good
509,Good
510,Lumpy
511,Good
512,Lighting
513,Lighting
514,Good
515,Good
516,Good
517,Good
518,Good
519,Good
520,Good
521,Lighting
522,Lumpy
523,Good
524,Lumpy
525,Lighting
526,Good
527,Good
528,Good
529,Good
530,Good
531,Good
532,Lumpy
533,Lumpy
534,Lumpy
535,Lumpy
536,Good
537,Lumpy
538,Good
539,Lumpy
540,Good
541,Lighting
542,Loose Wap
543,Lumpy
544,Lumpy
545,Loose Wap
546,Sloped
547,Good
548,Sloped
549,Lighting
550,Lumpy
551,Lumpy
552,Lighting
553,Lighting
554,Lighting
555,Lighting
556,Lighting
557,Loose Wap
558,Lighting
559,Lighting
560,Lumpy
561,Lighting
562,Loose Wap
563,Lighting
564,Lighting
565,Lumpy
566,Lighting
567,Lumpy
568,Sloped
569,Loose Wap
570,Good
571,Sloped
572,Lumpy
573,Lumpy
574,Loose Wap
575,Lumpy
576,Lighting
577,Lumpy
578,Lumpy
579,Lumpy
580,Lumpy
581,Sloped
582,Lighting
583,Lighting
584,Lighting
585,Lighting
586,Lumpy
587,Sloped
588,Lighting
589,Lumpy
590,Lighting
591,Lumpy
592,Lumpy
593,Good
594,Good
595,Lumpy
596,Good
597,Good
598,Lumpy
599,Good
600,Lighting
601,Loose Wap
602,Good
603,Good
604,Good
605,Good
606,Good
607,Lumpy
608,Good
609,Lumpy
610,Good
611,Lighting
612,Good
613,Lighting
614,Lighting
615,Lumpy
616,Lighting
617,Lighting
618,Lumpy
619,Lumpy
620,Lumpy
621,Good
622,Lighting
623,Lumpy
624,Lighting
625,Lumpy
626,Lighting
627,Lumpy
628,Lumpy
629,Lumpy
630,Lighting
631,Lumpy
632,Lighting
633,Lumpy
634,Lumpy
635,Lighting
636,Good
637,Lighting
638,Lighting
639,Lumpy
640,Good
641,Lighting
642,Loose Wap
643,Lumpy
644,Lumpy
645,Good
646,Lumpy
647,Lumpy
648,Lighting
649,Offset
650,Good
